Date,Bern-Mittelland,Biel/Bienne,Emmental,Interlaken-Oberhasli,Jura bernois,Oberaargau,Obersimmental-Saanen,Seeland,Thun,Frutigen-Niedersimmental,Total
2020-02-27,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,1,0,0,1
2020-03-17,0,1,0,0,0,0,0,1,0,0,2
2020-03-18,0,1,0,0,0,0,0,1,0,0,2
2020-03-19,0,1,0,0,0,0,0,1,0,0,2
2020-03-20,1,1,0,0,0,0,0,1,0,0,3
2020-03-21,2,1,0,0,1,0,0,1,0,0,5
2020-03-22,2,2,0,0,1,0,0,1,0,0,6
2020-03-23,2,2,0,0,1,0,0,1,0,0,6
2020-03-24,2,2,0,0,1,0,0,1,0,0,6
2020-03-25,2,2,0,0,1,1,0,1,0,0,7
2020-03-26,2,3,0,0,2,1,0,1,0,0,9
2020-03-27,2,3,0,0,2,1,0,1,0,0,9
2020-03-28,3,4,0,0,2,1,1,1,1,0,13
2020-03-29,3,4,1,0,2,2,1,1,1,0,15
2020-03-30,6,4,1,1,3,2,1,1,1,0,20
2020-03-31,6,4,1,1,3,2,2,1,1,0,21
2020-04-01,7,5,1,1,4,2,2,1,1,0,24
2020-04-02,8,5,1,1,5,2,2,1,1,0,26
2020-04-03,8,5,1,1,5,2,2,1,1,0,26
2020-04-04,9,5,1,1,7,2,2,1,1,0,29
2020-04-05,10,5,1,1,10,2,2,1,1,0,33
2020-04-06,10,5,1,1,10,2,2,1,1,0,33
2020-04-07,11,5,1,1,12,2,2,2,1,0,37
2020-04-08,14,6,1,1,12,2,2,2,1,0,41
2020-04-09,16,7,1,1,13,2,2,2,1,0,45
2020-04-10,18,7,1,1,15,4,2,2,1,0,51
2020-04-11,19,8,1,1,16,4,2,2,1,0,54
2020-04-12,19,8,1,1,18,4,2,2,1,0,56
2020-04-13,20,8,1,1,22,4,2,2,1,0,61
2020-04-14,21,9,1,1,22,4,2,2,1,0,63
2020-04-15,22,9,1,1,23,4,2,2,1,0,65
2020-04-16,23,9,1,1,23,4,2,2,1,0,66
2020-04-17,23,9,1,1,24,4,2,2,1,0,67
2020-04-18,24,10,1,1,24,5,2,2,1,0,70
2020-04-19,24,10,1,1,24,5,2,2,1,0,70
2020-04-20,28,10,1,1,24,5,2,2,1,0,74
2020-04-21,30,10,1,1,24,5,2,2,1,0,76
2020-04-22,30,10,1,2,24,5,2,2,1,0,77
2020-04-23,31,10,1,2,24,6,2,2,1,0,79
2020-04-24,32,10,1,2,24,6,2,2,1,0,80
2020-04-25,32,10,1,2,24,7,2,2,1,0,81
2020-04-26,32,10,1,2,24,7,2,2,1,0,81
2020-04-27,32,10,1,2,24,7,2,2,1,0,81
2020-04-28,32,11,1,2,25,7,2,2,1,0,83
2020-04-29,32,11,1,2,25,7,2,2,1,0,83
2020-04-30,32,11,1,2,25,8,2,2,1,0,84
2020-05-01,32,11,1,2,25,8,2,2,1,0,84
2020-05-02,32,11,1,2,25,8,2,2,1,0,84
